university,year,university_profile,domestic_enrolment,international_enrolment,graduate_share,professional_program_share,avg_domestic_tuition,avg_international_tuition,operating_grant,special_purpose_grants,inflation_rate,provincial_budget_growth,tuition_policy,international_policy_pressure,total_enrolment,international_share,domestic_share,domestic_tuition_revenue,international_tuition_revenue,total_tuition_revenue,total_grants,funding_per_student,grant_dependency_ratio,international_tuition_dependency_ratio,total_enrolment_yoy_growth,tuition_revenue_yoy_growth,operating_grant_yoy_growth,high_international_exposure_flag,high_grant_dependency_flag
Lakehead University,2024,northern_regional,9061.0,3356,0.236,0.088,6824.0,47189.22,144312577,9159805,0.016,-0.005,tuition_freeze,1,12417.0,0.2703,0.7297,61832264.0,158367022.32,220199286.32,153472382,11622.18,0.3959,0.7192,-0.2076,-0.1296,-0.2832,0,0
Lakehead University,2025,northern_regional,7973.0,3955,0.2,0.138,6930.0,62071.86,164843086,7629970,0.041,0.005,tuition_freeze,1,11928.0,0.3316,0.6684,55252890.0,245494206.3,300747096.3,172473056,13819.84,0.3541,0.8163,-0.0394,0.3658,0.1423,1,0
Lakehead University,2026,northern_regional,12680.0,1406,0.295,0.112,6901.0,57362.22,169541258,18117593,0.058,0.011,tuition_freeze,1,14086.0,0.0998,0.9002,87504680.0,80651281.32,168155961.32,187658851,12036.15,0.5021,0.4796,0.1809,-0.4409,0.0285,0,1
Laurentian University,2016,northern_regional,4671.0,2469,0.284,0.088,9650.79,51251.01,224934935,14404713,0.061,0.012,market_growth,0,7140.0,0.3458,0.6542,45078840.09,126538743.69,171617583.78,239339648,31503.49,0.5672,0.7373,,,,1,1
Laurentian University,2017,northern_regional,4688.0,2572,0.23,0.115,8013.85,51014.17,222671238,24273829,0.041,0.007,market_growth,0,7260.0,0.3543,0.6457,37568928.8,131208445.24,168777374.04,246945067,30670.97,0.5688,0.7774,0.0168,-0.0165,-0.0101,1,1
Laurentian University,2018,northern_regional,4880.0,2637,0.146,0.086,7034.71,33968.9,218521742,7256830,0.045,-0.005,market_growth,0,7517.0,0.3508,0.6492,34329384.8,89575989.3,123905374.1,225778572,29070.34,0.6382,0.7229,0.0354,-0.2659,-0.0186,1,1
Laurentian University,2019,northern_regional,4625.0,2729,0.216,0.136,8308.0,34777.76,235933439,15356726,0.034,0.043,tuition_freeze,0,7354.0,0.3711,0.6289,38424500.0,94908507.04,133333007.04,251290165,32082.33,0.6389,0.7118,-0.0217,0.0761,0.0797,1,1
Laurentian University,2020,northern_regional,4413.0,2963,0.195,0.04,9313.0,63225.71,238708486,16455015,0.026,0.024,tuition_freeze,0,7376.0,0.4017,0.5983,41098269.0,187337778.73,228436047.73,255163501,32362.86,0.511,0.8201,0.003,0.7133,0.0118,1,1
Laurentian University,2021,northern_regional,4938.0,3097,0.227,0.169,8091.0,44452.33,191889776,19762549,0.03,0.031,tuition_freeze,0,8035.0,0.3854,0.6146,39953358.0,137668866.01,177622224.01,211652325,23881.74,0.5193,0.7751,0.0893,-0.2224,-0.1961,1,1
Laurentian University,2022,northern_regional,5317.0,2680,0.226,0.141,8361.0,57948.71,216343295,17272270,0.019,0.043,tuition_freeze,0,7997.0,0.3351,0.6649,44455437.0,155302542.8,199757979.8,233615565,27053.06,0.5199,0.7775,-0.0047,0.1246,0.1274,1,1
Laurentian University,2023,northern_regional,5191.0,2714,0.289,0.145,7577.0,63884.81,289647916,11738101,0.037,-0.001,tuition_freeze,0,7905.0,0.3433,0.6567,39332207.0,173383374.34,212715581.34,301386017,36641.1,0.5766,0.8151,-0.0115,0.0649,0.3388,1,1
Laurentian University,2024,northern_regional,4204.0,1422,0.267,0.066,7134.0,41492.75,276178184,24100964,0.016,-0.005,tuition_freeze,1,5626.0,0.2528,0.7472,29991336.0,59002690.5,88994026.5,300279148,49089.62,0.7563,0.663,-0.2883,-0.5816,-0.0465,0,1
Laurentian University,2025,northern_regional,6063.0,2687,0.227,0.073,6936.0,43781.89,263710852,18296846,0.041,0.005,tuition_freeze,1,8750.0,0.3071,0.6929,42052968.0,117641938.43,159694906.43,282007698,30138.38,0.6228,0.7367,0.5553,0.7944,-0.0451,1,1
Laurentian University,2026,northern_regional,4751.0,888,0.25,0.107,7789.0,52304.23,240595230,11976466,0.058,0.011,tuition_freeze,1,5639.0,0.1575,0.8425,37005539.0,46446156.24,83451695.24,252571696,42666.29,0.7425,0.5566,-0.3555,-0.4774,-0.0877,0,1
McMaster University,2016,large_research,50403.0,8757,0.228,0.068,8752.52,60175.68,656112548,69271419,0.061,0.012,market_growth,0,59160.0,0.148,0.852,441153265.56,526958429.76,968111695.32,725383967,11090.48,0.404,0.5443,,,,0,0
McMaster University,2017,large_research,50929.0,9364,0.259,0.163,8112.11,40919.83,661458684,44577103,0.041,0.007,market_growth,0,60293.0,0.1553,0.8447,413141650.19,383173288.12,796314938.31,706035787,10970.74,0.4537,0.4812,0.0192,-0.1775,0.0081,0,0
McMaster University,2018,large_research,48564.0,10227,0.141,0.104,8899.8,61287.45,645384710,70536347,0.045,-0.005,market_growth,0,58791.0,0.174,0.826,432209887.2,626786751.15,1058996638.35,715921057,10977.61,0.3787,0.5919,-0.0249,0.3299,-0.0243,0,0
McMaster University,2019,large_research,50483.0,8472,0.297,0.085,9360.0,38188.03,693987698,33681815,0.034,0.043,tuition_freeze,0,58955.0,0.1437,0.8563,472520880.0,323528990.16,796049870.16,727669513,11771.48,0.4658,0.4064,0.0028,-0.2483,0.0753,0,0
McMaster University,2020,large_research,50828.0,9131,0.301,0.078,8052.0,56350.17,658425345,46758129,0.026,0.024,tuition_freeze,0,59959.0,0.1523,0.8477,409267056.0,514533402.27,923800458.27,705183474,10981.26,0.4161,0.557,0.017,0.1605,-0.0512,0,0
McMaster University,2021,large_research,46429.0,8944,0.153,0.115,8651.0,56137.47,697826997,30789692,0.03,0.031,tuition_freeze,0,55373.0,0.1615,0.8385,401657279.0,502093531.68,903750810.68,728616689,12602.3,0.4357,0.5556,-0.0765,-0.0217,0.0598,0,0
McMaster University,2022,large_research,64892.0,11008,0.174,0.074,6877.0,40385.51,595917954,34569212,0.019,0.043,tuition_freeze,0,75900.0,0.145,0.855,446262284.0,444563694.08,890825978.08,630487166,7851.36,0.4008,0.499,0.3707,-0.0143,-0.146,0,0
McMaster University,2023,large_research,50157.0,10212,0.232,0.097,9421.0,54310.45,665359983,23039695,0.037,-0.001,tuition_freeze,0,60369.0,0.1692,0.8308,472529097.0,554618315.4,1027147412.4,688399678,11021.55,0.3931,0.54,-0.2046,0.153,0.1165,0,0
McMaster University,2024,large_research,53601.0,8182,0.259,0.14,9249.0,42132.72,684337881,62041441,0.016,-0.005,tuition_freeze,1,61783.0,0.1324,0.8676,495755649.0,344729915.04,840485564.04,746379322,11076.48,0.4488,0.4102,0.0234,-0.1817,0.0285,0,0
McMaster University,2025,large_research,50424.0,7600,0.247,0.135,8663.0,42466.15,604158776,51765320,0.041,0.005,tuition_freeze,1,58024.0,0.131,0.869,436823112.0,322742740.0,759565852.0,655924096,10412.22,0.443,0.4249,-0.0608,-0.0963,-0.1172,0,0
McMaster University,2026,large_research,34579.0,12541,0.239,0.051,9269.0,38627.32,785680301,37677491,0.058,0.011,tuition_freeze,1,47120.0,0.2662,0.7338,320512751.0,484425220.12,804937971.12,823357792,16674.03,0.4939,0.6018,-0.1879,0.0597,0.3005,0,0
Queen's University,2016,mid_research,18961.0,7973,0.25,0.071,8838.58,55095.83,311312343,30523097,0.061,0.012,market_growth,0,26934.0,0.296,0.704,167588315.38,439279052.59,606867367.97,341835440,11558.34,0.3391,0.7238,,,,0,0
Queen's University,2017,mid_research,18780.0,8582,0.185,0.145,8948.97,37125.16,321260847,31928038,0.041,0.007,market_growth,0,27362.0,0.3136,0.6864,168061656.6,318608123.12,486669779.72,353188885,11741.13,0.3976,0.6547,0.0159,-0.1981,0.032,1,0
Queen's University,2018,mid_research,19934.0,8984,0.252,0.12,9476.43,36263.02,328202258,28159004,0.045,-0.005,market_growth,0,28918.0,0.3107,0.6893,188903155.62,325786971.68,514690127.3,356361262,11349.41,0.3894,0.633,0.0569,0.0576,0.0216,1,0
Queen's University,2019,mid_research,19165.0,8333,0.173,0.074,7593.0,60724.26,331467258,27979569,0.034,0.043,tuition_freeze,0,27498.0,0.303,0.697,145519845.0,506015258.58,651535103.58,359446827,12054.23,0.3372,0.7767,-0.0491,0.2659,0.0099,1,0
Queen's University,2020,mid_research,19467.0,10014,0.298,0.128,8665.0,44021.68,349704629,35134705,0.026,0.024,tuition_freeze,0,29481.0,0.3397,0.6603,168681555.0,440833103.52,609514658.52,384839334,11862.03,0.3646,0.7233,0.0721,-0.0645,0.055,1,0
Queen's University,2021,mid_research,19754.0,13024,0.235,0.109,9397.0,43526.34,320125871,10352801,0.03,0.031,tuition_freeze,0,32778.0,0.3973,0.6027,185628338.0,566887052.16,752515390.16,330478672,9766.49,0.2984,0.7533,0.1118,0.2346,-0.0846,1,0
Queen's University,2022,mid_research,21260.0,8499,0.176,0.043,9149.0,56224.92,309384259,27683907,0.019,0.043,tuition_freeze,0,29759.0,0.2856,0.7144,194507740.0,477855595.08,672363335.08,337068166,10396.33,0.3151,0.7107,-0.0921,-0.1065,-0.0336,0,0
Queen's University,2023,mid_research,17514.0,12332,0.308,0.174,9243.0,43227.54,344653530,14772123,0.037,-0.001,tuition_freeze,0,29846.0,0.4132,0.5868,161881902.0,533082023.28,694963925.28,359425653,11547.73,0.3315,0.7671,0.0029,0.0336,0.114,1,0
Queen's University,2024,mid_research,19572.0,10320,0.306,0.1,7784.0,50018.19,363405471,25655488,0.016,-0.005,tuition_freeze,1,29892.0,0.3452,0.6548,152348448.0,516187720.8,668536168.8,389060959,12157.28,0.3522,0.7721,0.0015,-0.038,0.0544,1,0
Queen's University,2025,mid_research,18936.0,9265,0.29,0.084,8439.0,32682.1,369453272,11272340,0.041,0.005,tuition_freeze,1,28201.0,0.3285,0.6715,159800904.0,302799656.5,462600560.5,380725612,13100.72,0.444,0.6546,-0.0566,-0.308,0.0166,1,0
Queen's University,2026,mid_research,21332.0,3049,0.259,0.12,8147.0,61031.02,405242186,43966708,0.058,0.011,tuition_freeze,1,24381.0,0.1251,0.8749,173791804.0,186083579.98,359875383.98,449208894,16621.23,0.5296,0.5171,-0.1355,-0.2221,0.0969,0,1
Toronto Metropolitan University,2016,mid_comprehensive,14953.0,5039,0.205,0.071,7320.69,58998.55,373869243,19261546,0.061,0.012,market_growth,0,19992.0,0.2521,0.7479,109466277.57,297293693.45,406759971.02,393130789,18700.94,0.4789,0.7309,,,,0,0
Toronto Metropolitan University,2017,mid_comprehensive,15311.0,5218,0.149,0.112,7973.76,47298.15,373772437,35061621,0.041,0.007,market_growth,0,20529.0,0.2542,0.7458,122086239.36,246801746.7,368887986.06,408834058,18207.05,0.5033,0.669,0.0269,-0.0931,-0.0003,0,1
Toronto Metropolitan University,2018,mid_comprehensive,15435.0,4904,0.293,0.163,8786.14,55741.34,376842680,11655609,0.045,-0.005,market_growth,0,20339.0,0.2411,0.7589,135614070.9,273355531.36,408969602.26,388498289,18528.08,0.4796,0.6684,-0.0093,0.1087,0.0082,0,0
Toronto Metropolitan University,2019,mid_comprehensive,15553.0,5627,0.238,0.089,8209.0,61383.33,349720162,12518495,0.034,0.043,tuition_freeze,0,21180.0,0.2657,0.7343,127674577.0,345403997.91,473078574.91,362238657,16511.81,0.425,0.7301,0.0413,0.1568,-0.072,0,0
Toronto Metropolitan University,2020,mid_comprehensive,15257.0,7912,0.196,0.139,9108.0,33365.26,358931555,19142898,0.026,0.024,tuition_freeze,0,23169.0,0.3415,0.6585,138960756.0,263985937.12,402946693.12,378074453,15491.89,0.4711,0.6551,0.0939,-0.1482,0.0263,1,0
Toronto Metropolitan University,2021,mid_comprehensive,14491.0,4991,0.207,0.076,7733.0,32562.12,293805504,29030860,0.03,0.031,tuition_freeze,0,19482.0,0.2562,0.7438,112058903.0,162517540.92,274576443.92,322836364,15080.87,0.5169,0.5919,-0.1591,-0.3186,-0.1814,0,1
Toronto Metropolitan University,2022,mid_comprehensive,18273.0,4156,0.268,0.147,8690.0,56471.88,343467332,37414929,0.019,0.043,tuition_freeze,0,22429.0,0.1853,0.8147,158792370.0,234697133.28,393489503.28,380882261,15313.54,0.4661,0.5965,0.1513,0.4331,0.169,0,0
Toronto Metropolitan University,2023,mid_comprehensive,16940.0,8323,0.256,0.073,8187.0,63566.21,404019541,16726264,0.037,-0.001,tuition_freeze,0,25263.0,0.3295,0.6705,138687780.0,529061565.83,667749345.83,420745805,15992.54,0.377,0.7923,0.1264,0.697,0.1763,1,0
Toronto Metropolitan University,2024,mid_comprehensive,14728.0,2217,0.226,0.101,8906.0,56965.94,574801758,49546300,0.016,-0.005,tuition_freeze,1,16945.0,0.1308,0.8692,131167568.0,126293488.98,257461056.98,624348058,33921.61,0.6906,0.4905,-0.3293,-0.6144,0.4227,0,1
Toronto Metropolitan University,2025,mid_comprehensive,11781.0,6392,0.305,0.169,6927.0,37068.81,414736860,31010660,0.041,0.005,tuition_freeze,1,18173.0,0.3517,0.6483,81606987.0,236943833.52,318550820.52,445747520,22821.6,0.5656,0.7438,0.0725,0.2373,-0.2785,1,1
Toronto Metropolitan University,2026,mid_comprehensive,18804.0,3300,0.153,0.07,9373.0,45522.9,359997603,20897916,0.058,0.011,tuition_freeze,1,22104.0,0.1493,0.8507,176249892.0,150225570.0,326475462.0,380895519,16286.54,0.5244,0.4601,0.2163,0.0249,-0.132,0,1
University of Ottawa,2016,large_comprehensive,38407.0,12805,0.223,0.132,8069.5,45891.78,1023860299,93818974,0.061,0.012,market_growth,0,51212.0,0.25,0.75,309925286.5,587644242.9,897569529.4,1117679273,19992.59,0.5329,0.6547,,,,0,1
University of Ottawa,2017,large_comprehensive,39858.0,13144,0.13,0.119,8946.35,45020.18,998638192,84548334,0.041,0.007,market_growth,0,53002.0,0.248,0.752,356583618.3,591745245.92,948328864.22,1083186526,18841.52,0.5129,0.624,0.035,0.0566,-0.0246,0,1
University of Ottawa,2018,large_comprehensive,38081.0,13702,0.139,0.084,7590.16,51269.38,986090970,108243166,0.045,-0.005,market_growth,0,51783.0,0.2646,0.7354,289040882.96,702493044.76,991533927.72,1094334136,19042.75,0.4986,0.7085,-0.023,0.0456,-0.0126,0,0
University of Ottawa,2019,large_comprehensive,38190.0,16531,0.213,0.131,9323.0,54669.19,1038312376,66550116,0.034,0.043,tuition_freeze,0,54721.0,0.3021,0.6979,356045370.0,903736379.89,1259781749.89,1104862492,18974.66,0.4518,0.7174,0.0567,0.2705,0.053,1,0
University of Ottawa,2020,large_comprehensive,38740.0,16534,0.123,0.171,8592.0,34147.12,917456135,78437525,0.026,0.024,tuition_freeze,0,55274.0,0.2991,0.7009,332854080.0,564588482.08,897442562.08,995893660,16598.33,0.5055,0.6291,0.0101,-0.2876,-0.1164,0,1
University of Ottawa,2021,large_comprehensive,52711.0,16216,0.257,0.126,7789.0,61322.48,1026366753,37555255,0.03,0.031,tuition_freeze,0,68927.0,0.2353,0.7647,410565979.0,994405335.68,1404971314.68,1063922008,14890.63,0.4221,0.7078,0.247,0.5655,0.1187,0,0
University of Ottawa,2022,large_comprehensive,41795.0,20552,0.28,0.135,8879.0,34898.97,1174181173,124544322,0.019,0.043,tuition_freeze,0,62347.0,0.3296,0.6704,371097805.0,717243631.44,1088341436.44,1298725495,18833.0,0.519,0.659,-0.0955,-0.2254,0.144,1,1
University of Ottawa,2023,large_comprehensive,35641.0,18402,0.282,0.155,9132.0,61281.12,1307841216,55040015,0.037,-0.001,tuition_freeze,0,54043.0,0.3405,0.6595,325473612.0,1127695170.24,1453168782.24,1362881231,24200.01,0.4737,0.776,-0.1332,0.3352,0.1138,1,0
University of Ottawa,2024,large_comprehensive,48076.0,11844,0.161,0.078,8865.0,32779.77,1234908043,78513212,0.016,-0.005,tuition_freeze,1,59920.0,0.1977,0.8023,426193740.0,388243595.88,814437335.88,1313421255,20609.28,0.6026,0.4767,0.1087,-0.4395,-0.0558,0,1
University of Ottawa,2025,large_comprehensive,37785.0,8252,0.244,0.087,9437.0,38709.64,1121926426,90968123,0.041,0.005,tuition_freeze,1,46037.0,0.1792,0.8208,356577045.0,319431949.28,676008994.28,1212894549,24370.1,0.624,0.4725,-0.2317,-0.17,-0.0915,0,1
University of Ottawa,2026,large_comprehensive,33764.0,17841,0.188,0.076,7787.0,36235.98,876146579,95253089,0.058,0.011,tuition_freeze,1,51605.0,0.3457,0.6543,262920268.0,646486119.18,909406387.18,971399668,16977.94,0.4907,0.7109,0.1209,0.3453,-0.2191,1,0
University of Toronto,2016,large_research,43795.0,7860,0.239,0.102,9292.94,54928.09,856086566,69825615,0.061,0.012,market_growth,0,51655.0,0.1522,0.8478,406984307.3,431734787.4,838719094.7,925912181,16573.16,0.5051,0.5148,,,,0,1
University of Toronto,2017,large_research,44070.0,7921,0.187,0.06,9548.16,47816.45,824561324,67625067,0.041,0.007,market_growth,0,51991.0,0.1524,0.8476,420787411.2,378754100.45,799541511.65,892186391,15859.69,0.5077,0.4737,0.0065,-0.0467,-0.0368,0,1
University of Toronto,2018,large_research,43734.0,8691,0.264,0.171,8111.99,49205.23,905122090,61987241,0.045,-0.005,market_growth,0,52425.0,0.1658,0.8342,354769770.66,427642653.93,782412424.59,967109331,17265.09,0.5364,0.5466,0.0083,-0.0214,0.0977,0,1
University of Toronto,2019,large_research,48461.0,10649,0.121,0.043,7676.0,46138.24,795391106,80175318,0.034,0.043,tuition_freeze,0,59110.0,0.1802,0.8198,371986636.0,491326117.76,863312753.76,875566424,13456.12,0.4795,0.5691,0.1275,0.1034,-0.1212,0,0
University of Toronto,2020,large_research,37836.0,10269,0.129,0.176,9124.0,51496.45,713291542,54063376,0.026,0.024,tuition_freeze,0,48105.0,0.2135,0.7865,345215664.0,528817045.05,874032709.05,767354918,14827.8,0.4494,0.605,-0.1862,0.0124,-0.1032,0,0
University of Toronto,2021,large_research,44562.0,9491,0.244,0.094,8405.0,38739.92,937373103,68495839,0.03,0.031,tuition_freeze,0,54053.0,0.1756,0.8244,374543610.0,367680580.72,742224190.72,1005868942,17341.74,0.5581,0.4954,0.1236,-0.1508,0.3142,0,1
University of Toronto,2022,large_research,45819.0,11100,0.292,0.135,9197.0,46686.89,971719018,62331270,0.019,0.043,tuition_freeze,0,56919.0,0.195,0.805,421397343.0,518224479.0,939621822.0,1034050288,17071.96,0.5084,0.5515,0.053,0.266,0.0366,0,1
University of Toronto,2023,large_research,44635.0,10611,0.308,0.119,7960.0,45922.78,1031943983,103331884,0.037,-0.001,tuition_freeze,0,55246.0,0.1921,0.8079,355294600.0,487286618.58,842581218.58,1135275867,18679.07,0.5505,0.5783,-0.0294,-0.1033,0.062,0,1
University of Toronto,2024,large_research,45750.0,7378,0.168,0.136,6874.0,58559.04,804790910,87905142,0.016,-0.005,tuition_freeze,1,53128.0,0.1389,0.8611,314485500.0,432048597.12,746534097.12,892696052,15148.15,0.5188,0.5787,-0.0383,-0.114,-0.2201,0,1
